,firm_name,firm_id,prefecture,firm_size,surveying_rank,surveying_exception,buildingConsulting_rank,buildingConsulting_exception,civilEngineeringConsulting_rank,civilEngineeringConsulting_exception,geologicalSurvey_rank,geologicalSurvey_exception,compensationConsultanting_rank,compensationConsultanting_exception,date
0,（株）アーキジオ,2230001010477,富山県,中小企業,163,,,,597,,96,,,,20200203
1,アーク（株）,7240001025478,広島県,中小企業,742,,,,998,,406,,406,,20200203
2,（株）アークコンサルタント,7260001019478,岡山県,中小企業,679,,,,894,,,,279,,20200203
3,（株）アーク・ジオ・サポート,1011001044505,東京都,中小企業,493,,,,1174,,,,,,20200203
4,（株）アース・アナライザー,9130001062613,京都府,中小企業,1120,,,,,,,,,,20200203
5,（株）アース開発コンサルタント,4240001025464,広島県,中小企業,98,,,,301,,387,,160,,20200203
6,（株）アースクレア,7260001021252,岡山県,中小企業,500,,,,1199,,,,617,,20200203
7,（株）アースコンサルタント,3490001000055,高知県,中小企業,757,,,,1300,,,,386,,20200203
8,（株）アーステクノ,6270001001072,鳥取県,中小企業,922,,,,900,,321,,,,20200203
9,（株）アーステック東洋,4130001013678,京都府,中小企業,931,,,,1168,,193,,,,20200203
10,（株）アース・プランニング,5470001012190,香川県,中小企業,708,,,,1022,,570,,458,,20200203
11,（株）アースライズカンパニー,5260001010983,岡山県,中小企業,1056,-01,,,1533,-01,731,-01,,,20200203
12,（株）アーバン技研,7260001019486,岡山県,中小企業,869,,,,1087,,,,518,,20200203
13,（株）アーバンクリエイト,2140001080075,兵庫県,中小企業,907,,,,,,,,,,20200203
14,（株）アーバン設計,7300001000020,佐賀県,中小企業,978,,,,1247,,728,,259,,20200203
15,（株）アーバンデザインコンサルタント,6011101000543,東京都,中小企業,818,,675,,880,,,,,,20200203
16,（株）アーバントラフィックエンジニアリング,2011101000547,東京都,中小企業,1005,,,,712,,,,,,20200203
17,（株）アーバンパイオニア設計,3120001053676,大阪府,中小企業,786,,970,,465,,,,,,20200203
18,アールテックコンサルタント（株）,9010701011534,東京都,中小企業,925,,,,958,,665,,,,20200203
19,相生エンジニアリング（株）,8240001021682,広島県,中小企業,174,,,,589,,693,,233,,20200203
20,（株）愛河調査設計,9180001033634,愛知県,中小企業,278,,782,,652,,546,,133,,20200203
21,（株）アイコン,4140001064340,兵庫県,中小企業,516,,,,673,,,,,,20200203
22,アイコンヤマト（株）,5270001001107,鳥取県,中小企業,425,,,,709,,613,,517,,20200203
23,（株）あい造園設計事務所,4011301015442,東京都,中小企業,1104,,952,,1387,,,,,,20200203
24,（株）あいだ測量設計,6050001015301,茨城県,中小企業,687,,,,,,,,,,20200203
25,会津土建（株）,3380001017151,福島県,中小企業,825,,,,,,,,,,20200203
26,（株）アイ・ディー・エー,8070001006008,群馬県,大企業,257,,548,,109,,603,,532,,20200203
